Timestamp,Chloraphylla ugL,Chloraphylla ugL [Quality],DO mg,DO mg [Quality],DO Sat,DO Sat [Quality],EC mScm,EC mScm [Quality],pH,pH [Quality],Temp degC,Temp degC [Quality],Turbidity NTU,Turbidity NTU [Quality]
Units,,,,,,,,,,,,,,
2013-12-23 00:03,4.6,4,6.75,4,96.9,4,37.01,4,7.8,4,27.22,4,,
2013-12-23 00:33,4.1,4,6.63,4,95.6,4,37.73,4,7.79,4,27.31,4,0.4,1030
2013-12-23 01:03,4.3,4,6.66,4,95.9,4,37.91,4,7.8,4,27.17,4,0.1,1030
2013-12-23 01:33,4.3,4,6.6,4,94.9,4,38.13,4,7.8,4,27.06,4,0.2,1030
2013-12-23 02:03,3.5,4,6.53,4,93.7,4,38.09,4,7.79,4,26.91,4,0.3,1030
2013-12-23 02:33,3.2,4,6.49,4,93.4,4,38.06,4,7.78,4,27.06,4,0.5,1030
2013-12-23 03:03,3.3,4,6.44,4,92.6,4,37.83,4,7.78,4,27.12,4,0.2,1030
2013-12-23 03:33,3.2,4,6.44,4,92.5,4,37.63,4,7.77,4,27.14,4,,
2013-12-23 04:03,2.4,4,6.39,4,91.7,4,37.15,4,7.76,4,27.09,4,,
2013-12-23 04:33,2.3,4,6.39,4,91.1,4,36.41,4,7.76,4,26.96,4,,
2013-12-23 05:03,2.6,4,6.37,4,90.6,4,35.95,4,7.75,4,26.9,4,,
2013-12-23 05:33,2.5,4,6.37,4,90.3,4,35.37,4,7.74,4,26.85,4,,
2013-12-23 06:03,1.9,4,6.33,4,89.3,4,34.8,4,7.73,4,26.73,4,,
2013-12-23 06:33,2.5,4,6.33,4,89,4,34.24,4,7.74,4,26.68,4,,
2013-12-23 07:03,2.4,4,6.32,4,89,4,34.26,4,7.74,4,26.75,4,,
2013-12-23 07:33,2.9,4,6.39,4,90.3,4,34.35,4,7.74,4,26.89,4,,
2013-12-23 08:03,3.3,4,6.41,4,91.2,4,35.12,4,7.76,4,27.13,4,,
2013-12-23 08:33,4,4,6.46,4,92.2,4,35.46,4,7.74,4,27.22,4,,
2013-12-23 09:03,3.2,4,6.49,4,93,4,36.19,4,7.76,4,27.31,4,0.1,1030
2013-12-23 09:33,3.1,4,6.54,4,94.1,4,36.42,4,7.78,4,27.48,4,0.4,1030
2013-12-23 10:03,4.9,4,6.64,4,95.7,4,36.56,4,7.79,4,27.59,4,0.2,1030
2013-12-23 10:33,4.3,4,6.64,4,96.2,4,37.02,4,7.79,4,27.75,4,0.6,1030
2013-12-23 11:03,3.4,4,6.62,4,96.4,4,37.38,4,7.78,4,28.02,4,1.6,1030
2013-12-23 11:33,3.7,4,6.51,4,95,4,37.22,4,7.76,4,28.16,4,2.7,1030
2013-12-23 12:03,3.1,4,6.63,4,97.1,4,37.07,4,7.76,4,28.35,4,2.6,1030
2013-12-23 12:33,4.3,4,6.8,4,99.8,4,38.14,4,7.81,4,28.21,4,0.7,1030
2013-12-23 13:03,4.7,4,6.82,4,100,4,38.06,4,7.81,4,28.21,4,0.9,1030
2013-12-23 13:33,4.6,4,6.89,4,101.2,4,38.33,4,7.83,4,28.24,4,0.2,1030
2013-12-23 14:03,7.9,4,7.04,4,103.7,4,38.36,4,7.84,4,28.45,4,0.5,1030
2013-12-23 14:33,7.1,4,7.01,4,103.5,4,38.47,4,7.84,4,28.5,4,1.3,1030
2013-12-23 15:03,8.2,4,7.02,4,103.5,4,38.54,4,7.84,4,28.43,4,1.7,1030
2013-12-23 15:33,5.4,4,6.7,4,98.4,4,38.45,4,7.81,4,28.2,4,1.3,1030
2013-12-23 16:03,5.4,4,6.65,4,97.5,4,38.27,4,7.8,4,28.2,4,1.1,1030
2013-12-23 16:33,6,4,6.65,4,97.6,4,38.1,4,7.8,4,28.25,4,1.1,1030
2013-12-23 17:03,6.3,4,6.67,4,98,4,37.6,4,7.79,4,28.39,4,1.2,1030
2013-12-23 17:33,5.6,4,6.75,4,98.8,4,36.68,4,7.8,4,28.44,4,0.5,1030
2013-12-23 18:03,6.5,4,6.72,4,98.1,4,36.14,4,7.79,4,28.4,4,0.2,1030
2013-12-23 18:33,6.5,4,6.68,4,97.2,4,35.6,4,7.78,4,28.35,4,0.1,1030
2013-12-23 19:03,6.4,4,6.68,4,96.8,4,35.14,4,7.77,4,28.22,4,0.2,1030
2013-12-23 19:33,6.1,4,6.68,4,96.7,4,34.83,4,7.77,4,28.21,4,,
2013-12-23 20:03,6.1,4,6.57,4,94.9,4,34.74,4,7.76,4,28.07,4,,
2013-12-23 20:33,6.6,4,6.65,4,95.8,4,34.73,4,7.78,4,27.92,4,,
2013-12-23 21:03,6.2,4,6.68,4,96,4,34.87,4,7.79,4,27.77,4,,
2013-12-23 21:33,6.2,4,6.57,4,94.3,4,35.04,4,7.77,4,27.64,4,0.2,1030
2013-12-23 22:03,5.9,4,6.53,4,93.7,4,35.37,4,7.76,4,27.55,4,0.5,1030
